TIME     I(1.660000000e+01,1.100000000e+01,12) Vin(2.520000000e+00,2.190000000e+00) 
4.577710000e-03  1.785710000e-01 9.696970000e-01 
4.587705000e-03  1.785710000e-01 9.696970000e-01 
4.597700000e-03  1.785710000e-01 9.696970000e-01 
4.607695000e-03  1.785710000e-01 9.696970000e-01 
4.617690000e-03  1.785710000e-01 9.696970000e-01 
4.627685000e-03  1.785710000e-01 9.696970000e-01 
4.637680000e-03  1.785710000e-01 9.696970000e-01 
4.647675000e-03  1.785710000e-01 9.696970000e-01 
4.657670000e-03  2.142860000e-01 9.696970000e-01 
4.667665000e-03  1.785710000e-01 9.393940000e-01 
4.677660000e-03  1.785710000e-01 9.393940000e-01 
4.687655000e-03  1.785710000e-01 9.696970000e-01 
4.697650000e-03  1.785710000e-01 9.696970000e-01 
4.707645000e-03  2.142860000e-01 9.696970000e-01 
4.717640000e-03  1.785710000e-01 9.696970000e-01 
4.727635000e-03  1.785710000e-01 9.696970000e-01 
4.737630000e-03  1.785710000e-01 9.696970000e-01 
4.747625000e-03  1.785710000e-01 9.696970000e-01 
4.757620000e-03  1.785710000e-01 9.393940000e-01 
4.767615000e-03  1.785710000e-01 9.696970000e-01 
4.777610000e-03  1.785710000e-01 9.696970000e-01 
4.787605000e-03  1.785710000e-01 9.696970000e-01 
4.797600000e-03  1.785710000e-01 9.696970000e-01 
4.807595000e-03  1.785710000e-01 9.696970000e-01 
4.817590000e-03  1.785710000e-01 9.696970000e-01 
4.827585000e-03  1.785710000e-01 9.696970000e-01 
4.837580000e-03  1.785710000e-01 9.696970000e-01 
4.847575000e-03  1.785710000e-01 9.696970000e-01 
4.857570000e-03  1.785710000e-01 9.696970000e-01 
4.867565000e-03  1.071430000e-01 9.393940000e-01 
4.877560000e-03  1.785710000e-01 9.696970000e-01 
4.887555000e-03  1.785710000e-01 9.696970000e-01 
4.897550000e-03  1.785710000e-01 9.696970000e-01 
